Generation,ID,fitness,max Fitness,mean fitness,,,,,,,
,,,,,,,,,,,
25,196,350.3,0,0,,,,,,,
,,,,,,,,,,,
25,197,385.5,0,0,,,,,,,
,,,,,,,,,,,
25,198,672,0,0,,,,,,,
,,,,,,,,,,,
25,199,445.4,0,0,,,,,,,
,,,,,,,,,,,
25,200,149.9,0,0,,,,,,,
,,,,,,,,,,,
25,201,461.2,0,0,,,,,,,
,,,,,,,,,,,
25,202,429.3,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,672,456.67,,,,,,,
,,,,,,,,,,,
26,198,588,0,0,,,,,,,
,,,,,,,,,,,
26,181,783.5,0,0,,,,,,,
,,,,,,,,,,,
26,203,406.4,0,0,,,,,,,
,,,,,,,,,,,
26,204,47.5,0,0,,,,,,,
,,,,,,,,,,,
26,205,438.8,0,0,,,,,,,
,,,,,,,,,,,
26,206,395.3,0,0,,,,,,,
,,,,,,,,,,,
26,207,435.3,0,0,,,,,,,
,,,,,,,,,,,
26,208,29.9,0,0,,,,,,,
,,,,,,,,,,,
26,209,290,0,0,,,,,,,
,,,,,,,,,,,
26,210,446.4,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,783.5,386.11,,,,,,,
,,,,,,,,,,,
27,181,634.6,0,0,,,,,,,
,,,,,,,,,,,
27,198,444.8,0,0,,,,,,,
,,,,,,,,,,,
27,211,430.7,0,0,,,,,,,
,,,,,,,,,,,
27,212,360.9,0,0,,,,,,,
,,,,,,,,,,,
27,213,439.2,0,0,,,,,,,
,,,,,,,,,,,
27,214,56.5,0,0,,,,,,,
,,,,,,,,,,,
27,215,447,0,0,,,,,,,
,,,,,,,,,,,
27,216,117.3,0,0,,,,,,,
,,,,,,,,,,,
27,217,440.6,0,0,,,,,,,
,,,,,,,,,,,
27,218,154.9,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,634.6,352.65,,,,,,,
,,,,,,,,,,,
28,181,686.5,0,0,,,,,,,
,,,,,,,,,,,
28,215,455.2,0,0,,,,,,,
,,,,,,,,,,,
28,219,461.2,0,0,,,,,,,
,,,,,,,,,,,
28,220,445.5,0,0,,,,,,,
,,,,,,,,,,,
28,221,537.1,0,0,,,,,,,
,,,,,,,,,,,
28,222,442.2,0,0,,,,,,,
,,,,,,,,,,,
28,223,382.9,0,0,,,,,,,
,,,,,,,,,,,
28,224,603.8,0,0,,,,,,,
,,,,,,,,,,,
28,225,43.3,0,0,,,,,,,
,,,,,,,,,,,
28,226,428.8,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,686.5,448.65,,,,,,,
,,,,,,,,,,,
29,181,742.5,0,0,,,,,,,
,,,,,,,,,,,
29,224,596.7,0,0,,,,,,,
,,,,,,,,,,,
29,227,623.3,0,0,,,,,,,
,,,,,,,,,,,
29,228,566.9,0,0,,,,,,,
,,,,,,,,,,,
29,229,684.3,0,0,,,,,,,
,,,,,,,,,,,
29,230,274,0,0,,,,,,,
,,,,,,,,,,,
29,231,76.3,0,0,,,,,,,
,,,,,,,,,,,
29,232,446.7,0,0,,,,,,,
,,,,,,,,,,,
29,233,444.3,0,0,,,,,,,
,,,,,,,,,,,
29,234,437.2,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,742.5,489.22,,,,,,,
,,,,,,,,,,,
30,181,606.8,0,0,,,,,,,
,,,,,,,,,,,
30,229,665.5,0,0,,,,,,,
,,,,,,,,,,,
30,235,57,0,0,,,,,,,
,,,,,,,,,,,
30,236,455,0,0,,,,,,,
,,,,,,,,,,,
30,237,460.2,0,0,,,,,,,
,,,,,,,,,,,
30,238,599.8,0,0,,,,,,,
,,,,,,,,,,,
30,239,66.3,0,0,,,,,,,
,,,,,,,,,,,
30,240,416.1,0,0,,,,,,,
,,,,,,,,,,,
30,241,175,0,0,,,,,,,
,,,,,,,,,,,
30,242,584.9,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,665.5,408.66,,,,,,,
,,,,,,,,,,,
31,229,681.5,0,0,,,,,,,
,,,,,,,,,,,
31,181,657.4,0,0,,,,,,,
,,,,,,,,,,,
31,243,437.9,0,0,,,,,,,
,,,,,,,,,,,
31,244,139.9,0,0,,,,,,,
,,,,,,,,,,,
31,245,677.2,0,0,,,,,,,
,,,,,,,,,,,
31,246,354.3,0,0,,,,,,,
,,,,,,,,,,,
31,247,451.2,0,0,,,,,,,
,,,,,,,,,,,
31,248,457.3,0,0,,,,,,,
,,,,,,,,,,,
31,249,459.5,0,0,,,,,,,
,,,,,,,,,,,
31,250,439.2,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,681.5,475.54,,,,,,,
,,,,,,,,,,,
32,229,460,0,0,,,,,,,
,,,,,,,,,,,
32,245,453.7,0,0,,,,,,,
,,,,,,,,,,,
32,251,407.5,0,0,,,,,,,
,,,,,,,,,,,
32,252,329.1,0,0,,,,,,,
,,,,,,,,,,,
32,253,70.4,0,0,,,,,,,
,,,,,,,,,,,
32,254,457.5,0,0,,,,,,,
,,,,,,,,,,,
32,255,674.6,0,0,,,,,,,
,,,,,,,,,,,
32,256,447.1,0,0,,,,,,,
,,,,,,,,,,,
32,257,387,0,0,,,,,,,
,,,,,,,,,,,
32,258,604.9,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,674.6,429.18,,,,,,,
,,,,,,,,,,,
33,255,704.4,0,0,,,,,,,
,,,,,,,,,,,
33,258,671,0,0,,,,,,,
,,,,,,,,,,,
33,259,617.8,0,0,,,,,,,
,,,,,,,,,,,
33,260,430,0,0,,,,,,,
,,,,,,,,,,,
33,261,240.9,0,0,,,,,,,
,,,,,,,,,,,
33,262,164.1,0,0,,,,,,,
,,,,,,,,,,,
33,263,466.6,0,0,,,,,,,
,,,,,,,,,,,
33,264,439.3,0,0,,,,,,,
,,,,,,,,,,,
33,265,32.5,0,0,,,,,,,
,,,,,,,,,,,
33,266,118.8,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,704.4,388.54,,,,,,,
,,,,,,,,,,,
34,255,683.4,0,0,,,,,,,
,,,,,,,,,,,
34,258,651.5,0,0,,,,,,,
,,,,,,,,,,,
34,267,458.1,0,0,,,,,,,
,,,,,,,,,,,
34,268,445.9,0,0,,,,,,,
,,,,,,,,,,,
34,269,438.5,0,0,,,,,,,
,,,,,,,,,,,
34,270,463.5,0,0,,,,,,,
,,,,,,,,,,,
34,271,76.3,0,0,,,,,,,
,,,,,,,,,,,
34,272,62,0,0,,,,,,,
,,,,,,,,,,,
34,273,439.5,0,0,,,,,,,
,,,,,,,,,,,
34,274,620.5,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,683.4,433.92,,,,,,,
,,,,,,,,,,,
35,255,600.4,0,0,,,,,,,
,,,,,,,,,,,
35,258,701.4,0,0,,,,,,,
,,,,,,,,,,,
35,275,601.5,0,0,,,,,,,
,,,,,,,,,,,
35,276,435.8,0,0,,,,,,,
,,,,,,,,,,,
35,277,516.3,0,0,,,,,,,
,,,,,,,,,,,
35,278,615.8,0,0,,,,,,,
,,,,,,,,,,,
35,279,21.3,0,0,,,,,,,
,,,,,,,,,,,
35,280,145.6,0,0,,,,,,,
,,,,,,,,,,,
35,281,1140.5,0,0,,,,,,,
,,,,,,,,,,,
35,282,452.5,0,0,,,,,,,
,,,,,,,,,,,
0,0,0,1140.5,523.11,,,,,,,
,,,,,,,,,,,
36,281,147.8,0,0,,,,,,,
,,,,,,,,,,,
36,258,639.8,0,0,,,,,,,
,,,,,,,,,,,
36,283,121.8,0,0,,,,,,,
,,,,,,,,,,,
36,284,384.5,0,0,,,,,,,
,,,,,,,,,,,
36,285,65.2,0,0,,,,,,,
,,,,,,,,,,,
36,286,344.3,0,0,,,,,,,
,,,,,,,,,,,
36,287,453.1,0,0,,,,,,,
,,,,,,,,,,,
36,288,132.8,0,0,,,,,,,
,,,,,,,,,,,
36,289,72.4,0,0,,,,,,,
,,,,,,,,,,,
